,version,PID,phase,trial,condition,old_pair,stimulus_left,stimulus_right,old_response,rt_pairs,chosen_object,left_object_chosen,rt_object,pairs_acc,zscored_rt_pairs,zscored_rt_object
0,V1,RTY50,memory_test,0.0,1.0,1.0,2.0,51.0,0.0,3235.0,51.0,,,0,1.1338208389513709,
1,V1,RTY50,memory_test,1.0,1.0,0.0,59.0,28.0,1.0,2279.0,,1.0,5366.0,0,0.17175037560446788,2.6842985060754723
2,V1,RTY50,memory_test,2.0,1.0,1.0,25.0,52.0,1.0,3394.0,52.0,0.0,824.0,1,1.293830466223502,-0.364408406628585
3,V1,RTY50,memory_test,3.0,1.0,0.0,16.0,8.0,1.0,1988.0,,1.0,1726.0,0,-0.1210974327992442,0.2410371317375664
4,V1,RTY50,memory_test,4.0,0.0,1.0,29.0,41.0,0.0,4974.0,41.0,,,0,2.8838632403742412,
5,V1,RTY50,memory_test,5.0,1.0,0.0,2.0,20.0,0.0,2146.0,,,,1,0.0379058446158297,
6,V1,RTY50,memory_test,6.0,0.0,0.0,23.0,47.0,1.0,2364.0,,1.0,1126.0,0,0.2572901134543494,-0.16169825963681367
7,V1,RTY50,memory_test,7.0,1.0,1.0,50.0,16.0,0.0,1846.0,16.0,,,0,-0.26399911250139924,
8,V1,RTY50,memory_test,8.0,0.0,0.0,22.0,64.0,0.0,1466.0,,,,1,-0.6464120581832226,
9,V1,RTY50,memory_test,9.0,0.0,0.0,0.0,41.0,0.0,1524.0,,,,1,-0.5880437664738917,
10,V1,RTY50,memory_test,10.0,1.0,1.0,61.0,28.0,1.0,1701.0,61.0,1.0,509.0,1,-0.40991984177472657,-0.5758444871001346
11,V1,RTY50,memory_test,11.0,0.0,1.0,63.0,60.0,1.0,2564.0,60.0,0.0,619.0,1,0.4585600848658354,-0.5020096653481648
12,V1,RTY50,memory_test,12.0,0.0,1.0,64.0,0.0,1.0,2328.0,64.0,0.0,313.0,1,0.22106151860028192,-0.7074047149490987
13,V1,RTY50,memory_test,13.0,0.0,1.0,7.0,23.0,1.0,3904.0,23.0,1.0,901.0,1,1.8070688933227914,-0.3127240314022062
14,V1,RTY50,memory_test,14.0,0.0,0.0,7.0,60.0,0.0,2081.0,,,,1,-0.027506896092903233,
15,V1,RTY50,memory_test,15.0,1.0,0.0,25.0,61.0,0.0,1164.0,,,,1,-0.9503297150145664,
16,V1,RTY50,memory_test,16.0,1.0,0.0,52.0,14.0,0.0,2890.0,,,,1,0.7866301382665575,
17,V1,RTY50,memory_test,17.0,1.0,0.0,50.0,51.0,0.0,1104.0,,,,1,-1.010710706438012,
18,V1,RTY50,memory_test,18.0,1.0,1.0,59.0,8.0,0.0,1153.0,59.0,,,0,-0.9613995634421981,
19,V1,RTY50,memory_test,19.0,0.0,1.0,47.0,5.0,1.0,1644.0,5.0,0.0,519.0,1,-0.46728178362700007,-0.5691322305772282
20,V1,RTY50,memory_test,20.0,0.0,0.0,48.0,63.0,0.0,1139.0,,,,1,-0.9754884614410021,
21,V1,RTY50,memory_test,21.0,0.0,1.0,48.0,22.0,1.0,1543.0,48.0,1.0,1766.0,1,-0.5689231191898004,0.2678861578291918
22,V1,RTY50,memory_test,22.0,1.0,1.0,20.0,14.0,0.0,1066.0,20.0,,,0,-1.0489520010061946,
23,V1,RTY50,memory_test,23.0,0.0,0.0,5.0,29.0,0.0,1103.0,,,,1,-1.0117170562950697,
